reaction_id,flux_mmol_gDW_h
RETACIH,0.0
METARHODOPSINH,0.0
CRETINOLPMTACT,0.0
LLDH_ferr_m,0.0
CAROMO,0.0
BATHORHODOPSINI,0.0
TRETINOLOR2,0.0
TRETINOLOR1,0.0
CRETINOLOR2,0.0
CRETINOLOR1,0.0
HYDA,0.0
PYRShi,0.0
PYRDC,0.0
PFLh,0.0
PFLACTm,0.0
LLDH_ferr_x,0.0
UDPGP,0.0
TMDK1,0.0
URO2,0.0
TDSRh,0.0
CSDA,0.0
CMP,0.0
CDPPH,0.0
CDDA,0.0
AUPT,0.0
ATUDm,0.0
ATUD,0.0
ATDUDm,0.0
ATDUD,0.0
ATDTM,0.0
ATDTDm,0.0
ATDTD,0.0
ATDCM,0.0
ATDCDm,0.0
ATDCD,0.0
ATCY,0.0
ATCDm,0.0
ASPCTm,0.0
ASPCT,0.0
ORPRT,0.0
DHROm,0.0
DHRO,0.0
DHR,0.0
DCYTPT,0.0
DAD2PT,0.0
DGSNPT,0.0
INSH,0.0
CYRH,0.0
DATCY,0.0
DATUP,0.0
DURIK1,0.0
TDSR,0.0
ORPDC,0.0
NTD1,0.0
ITUP,0.0
ITCY,0.0
HCGALm,0.0
HCGAL,0.0
GTUP,0.0
GTCY,0.0
DUTUP,0.0
DUTNH,0.0
DUTCP,0.0
DUDT,0.0
DCAH,0.0
DTTUP,0.0
DTTGY,0.0
DTPH,0.0
DTNH,0.0
DTMPK,0.0
DGTUP,0.0
DGTCY,0.0
DCTUP,0.0
DCTCP,0.0
DCMP,0.0
DCMAH,0.0
DCDT,0.0
CTPH,0.0
MPMECY3,0.0
AGPT,0.0
APPT,0.0
PPMh,0.0
PPM,0.0
GLCUR1PUT,0.0
XU5PDPT,0.0
PPCL_CTP,0.0
PPCL,0.0
PPATDm,0.0
PPATDh,0.0
PBALm,0.0
MTMOHT,0.0
DMORm,0.0
DMORh,0.0
DMHL,0.0
CYSCL,0.0
APNPT,0.0
FTCL,0.0
APCPT,0.0
ADCPT,0.0
ACPS1m,0.0
PNORn,0.0
PNORm,0.0
BCTA_val_m,0.0
APPAT,0.0
ACPS1h,0.0
ACPS1,0.0
2DHPFALDL,0.0
NADHOR_2h,0.0
NADHOR_2m,0.0
MTHFO,0.0
MTAM,0.0
RPDPK,0.0
DRBK,0.0
G6PADH,0.0
G6PADHh,0.0
SKK,0.0
SERH,0.0
PPOR,0.0
PPDH,0.0
PHETLm,0.0
IGPS,0.0
G3PL,0.0
DPHS,0.0
DHQS,0.0
CHRS,0.0
ATNS_nh4,0.0
ATNS,0.0
ANTPPT,0.0
TYRTAh,0.0
SKDH,0.0
PSCIT,0.0
PRAI,0.0
POATm,0.0
POATh,0.0
POAT,0.0
DQDH,0.0
CHRM,0.0
RPE,0.0
PGLh,0.0
PGDHh,0.0
PGDH,0.0
GNKh,0.0
G6PBDHh,0.0
G6PBDH,0.0
FTHFO,0.0
FTAL,0.0
TRPTL,0.0
QULNS,0.0
HYNE,0.0
